Age,Support Calls,Payment Delay,Total Spend,Last Interaction,Churn,Female,Male,Age Group,Interaction Frequency
62.0,8.0,8.0,823.0,15.0,1.0,1,0,3,1
44.0,7.0,12.0,156.02,14.0,1.0,1,0,2,1
37.0,10.0,24.0,442.0,14.0,1.0,0,1,1,1
50.0,5.0,2.0,735.38,6.0,0.0,0,1,2,0
31.0,0.0,2.0,938.67,27.0,0.0,0,1,1,2
43.0,9.0,30.0,341.0,18.0,1.0,0,1,2,2
62.0,1.0,17.0,545.0,28.0,1.0,1,0,3,2
20.0,5.0,3.0,580.0,28.0,1.0,1,0,0,2
40.0,5.0,6.0,315.0,26.0,1.0,1,0,2,2
31.0,10.0,9.0,538.0,24.0,1.0,0,1,1,2
53.0,3.0,21.0,202.0,21.0,1.0,0,1,2,2
40.0,1.0,19.0,980.58,3.0,0.0,0,1,2,0
18.0,5.0,3.0,119.0,17.0,1.0,1,0,0,2
50.0,5.0,9.0,875.93,27.0,0.0,0,1,2,2
25.0,1.0,10.0,999.63,7.0,0.0,1,0,1,0
22.0,2.0,17.0,684.32,3.0,0.0,0,1,0,0
42.0,6.0,22.0,141.0,24.0,1.0,0,1,2,2
50.0,2.0,30.0,178.0,24.0,1.0,1,0,2,2
20.0,0.0,0.0,391.0,13.0,0.0,1,0,0,1
23.0,2.0,15.0,826.89,9.0,0.0,1,0,0,1
26.0,1.0,17.0,886.77,15.0,0.0,0,1,1,1
30.0,2.0,26.0,770.83,18.0,1.0,1,0,1,2
42.0,4.0,19.0,909.81,5.0,0.0,1,0,2,0
20.0,7.0,26.0,622.75,13.0,1.0,0,1,0,1
35.0,2.0,20.0,798.32,18.0,0.0,0,1,1,2
29.0,7.0,28.0,818.0,1.0,1.0,0,1,1,0
48.0,2.0,6.0,728.15,5.0,0.0,0,1,2,0
23.0,3.0,9.0,517.0,29.0,1.0,0,1,0,2
26.0,2.0,1.0,936.14,3.0,0.0,1,0,1,0
30.0,1.0,16.0,894.51,16.0,0.0,0,1,1,2
38.0,0.0,13.0,763.32,14.0,0.0,1,0,1,1
62.0,3.0,25.0,327.99,22.0,1.0,0,1,3,2
48.0,3.0,11.0,783.76,13.0,0.0,1,0,2,1
39.0,0.0,7.0,779.6,23.0,0.0,0,1,1,2
60.0,10.0,6.0,240.0,28.0,1.0,1,0,3,2
21.0,1.0,2.0,771.36,2.0,0.0,1,0,0,0
34.0,2.0,1.0,632.55,18.0,0.0,0,1,1,2
51.0,8.0,12.0,686.0,21.0,1.0,0,1,2,2
30.0,5.0,2.0,387.0,22.0,1.0,0,1,1,2
48.0,4.0,7.0,615.53,3.0,0.0,0,1,2,0
48.0,6.0,16.0,385.0,3.0,1.0,1,0,2,0
34.0,9.0,27.0,668.0,14.0,1.0,1,0,1,1
33.0,1.0,20.0,924.51,13.0,0.0,0,1,1,1
49.0,9.0,20.0,699.0,19.0,1.0,1,0,2,2
19.0,5.0,3.0,636.76,1.0,1.0,0,1,0,0
49.0,4.0,19.0,914.0,4.0,0.0,0,1,2,0
22.0,10.0,30.0,577.62,8.0,1.0,0,1,0,1
58.0,8.0,20.0,490.0,4.0,1.0,0,1,2,0
23.0,10.0,20.0,564.0,1.0,1.0,1,0,0,0
24.0,2.0,3.0,635.0,27.0,1.0,1,0,0,2
46.0,2.0,18.0,856.77,1.0,0.0,1,0,2,0
53.0,2.0,2.0,167.0,27.0,1.0,1,0,2,2
30.0,0.0,13.0,762.02,12.0,0.0,0,1,1,1
47.0,1.0,18.0,871.64,6.0,0.0,0,1,2,0
27.0,0.0,5.0,802.29,6.0,0.0,1,0,1,0
18.0,0.0,8.0,853.7,12.0,0.0,1,0,0,1
26.0,2.0,5.0,942.56,4.0,0.0,1,0,1,0
55.0,9.0,4.0,737.0,14.0,1.0,1,0,2,1
18.0,3.0,27.0,379.0,20.0,1.0,0,1,0,2
21.0,0.0,21.0,823.0,27.0,1.0,0,1,0,2
25.0,1.0,28.0,387.0,7.0,1.0,1,0,1,0
44.0,0.0,17.0,440.0,6.0,1.0,1,0,2,0
51.0,4.0,5.0,217.0,13.0,1.0,1,0,2,1
46.0,3.0,16.0,974.78,6.0,0.0,0,1,2,0
25.0,2.0,11.0,786.29,15.0,0.0,0,1,1,1
34.0,9.0,30.0,918.0,21.0,1.0,0,1,1,2
58.0,3.0,4.0,143.0,13.0,1.0,0,1,2,1
47.0,7.0,28.0,615.0,5.0,1.0,0,1,2,0
56.0,6.0,28.0,663.0,20.0,1.0,1,0,2,2
44.0,1.0,5.0,594.65,22.0,0.0,0,1,2,2
29.0,1.0,14.0,770.47,21.0,0.0,0,1,1,2
43.0,4.0,18.0,701.25,21.0,0.0,0,1,2,2
28.0,0.0,16.0,520.39,22.0,0.0,0,1,1,2
20.0,6.0,27.0,986.0,26.0,1.0,1,0,0,2
27.0,10.0,17.0,964.0,8.0,1.0,0,1,1,1
62.0,0.0,28.0,196.0,27.0,1.0,0,1,3,2
18.0,1.0,4.0,976.04,20.0,0.0,0,1,0,2
42.0,0.0,4.0,610.99,4.0,0.0,1,0,2,0
44.0,1.0,5.0,270.0,2.0,1.0,0,1,2,0
38.0,6.0,13.0,804.0,5.0,1.0,0,1,1,0
48.0,1.0,5.0,847.93,22.0,0.0,0,1,2,2
22.0,2.0,2.0,678.62,28.0,0.0,0,1,0,2
38.0,0.0,4.0,155.0,24.0,0.0,1,0,1,2
44.0,1.0,26.0,771.79,11.0,1.0,1,0,2,1
38.0,8.0,17.0,824.0,17.0,1.0,1,0,1,2
58.0,9.0,17.0,378.61,8.0,1.0,1,0,2,1
54.0,4.0,15.0,310.0,29.0,1.0,1,0,2,2
21.0,3.0,12.0,964.0,8.0,1.0,1,0,0,1
56.0,4.0,6.0,711.0,11.0,1.0,0,1,2,1
26.0,1.0,11.0,903.84,23.0,1.0,1,0,1,2
41.0,0.0,1.0,731.63,18.0,0.0,0,1,2,2
47.0,4.0,1.0,385.0,18.0,1.0,0,1,2,2
24.0,0.0,29.0,544.0,20.0,1.0,0,1,0,2
42.0,0.0,1.0,916.59,5.0,0.0,1,0,2,0
20.0,2.0,16.0,687.87,30.0,0.0,0,1,0,2
43.0,3.0,2.0,581.24,1.0,0.0,1,0,2,0
49.0,0.0,7.0,479.0,23.0,1.0,0,1,2,2
31.0,0.0,13.0,543.95,14.0,0.0,1,0,1,1
37.0,10.0,8.0,399.0,27.0,1.0,1,0,1,2
53.0,5.0,20.0,894.0,24.0,1.0,1,0,2,2
39.0,2.0,5.0,574.0,15.0,1.0,1,0,1,1
42.0,1.0,5.0,617.95,10.0,0.0,0,1,2,1
46.0,2.0,29.0,133.0,11.0,1.0,1,0,2,1
38.0,8.0,3.0,619.0,10.0,0.0,1,0,1,1
37.0,1.0,1.0,546.94,3.0,0.0,0,1,1,0
63.0,3.0,9.0,716.41,22.0,1.0,0,1,3,2
18.0,7.0,6.0,188.0,19.0,1.0,1,0,0,2
42.0,1.0,3.0,789.92,9.0,0.0,1,0,2,1
32.0,0.0,16.0,904.35,1.0,0.0,0,1,1,0
48.0,1.0,14.0,986.11,28.0,0.0,0,1,2,2
39.0,0.0,11.0,633.03,21.0,1.0,1,0,1,2
63.0,5.0,6.0,662.0,24.0,1.0,0,1,3,2
33.0,10.0,30.0,971.0,18.0,0.0,0,1,1,2
62.0,4.0,15.0,683.0,11.0,1.0,1,0,3,1
20.0,8.0,10.0,924.0,16.0,1.0,1,0,0,2
20.0,0.0,11.0,254.0,30.0,1.0,0,1,0,2
44.0,1.0,8.0,772.08,10.0,0.0,1,0,2,1
44.0,1.0,18.0,819.14,21.0,0.0,0,1,2,2
20.0,5.0,18.0,148.0,17.0,1.0,0,1,0,2
35.0,5.0,8.0,669.0,4.0,1.0,1,0,1,0
50.0,0.0,15.0,561.39,21.0,0.0,0,1,2,2
36.0,1.0,6.0,719.38,16.0,0.0,0,1,1,2
34.0,9.0,17.0,166.0,11.0,1.0,0,1,1,1
31.0,2.0,2.0,967.04,7.0,0.0,0,1,1,0
35.0,6.0,13.0,256.0,7.0,1.0,0,1,1,0
35.0,2.0,14.0,849.09,13.0,0.0,0,1,1,1
41.0,5.0,30.0,925.0,22.0,1.0,1,0,2,2
27.0,2.0,11.0,471.0,19.0,1.0,1,0,1,2
30.0,2.0,12.0,782.12,14.0,0.0,0,1,1,1
34.0,2.0,2.0,830.12,10.0,0.0,1,0,1,1
27.0,5.0,3.0,356.0,14.0,1.0,1,0,1,1
21.0,1.0,0.0,685.88,8.0,0.0,0,1,0,1
28.0,0.0,2.0,801.24,4.0,0.0,1,0,1,0
38.0,6.0,0.0,686.0,27.0,1.0,1,0,1,2
57.0,8.0,25.0,874.0,1.0,1.0,0,1,2,0
57.0,6.0,21.0,707.0,10.0,1.0,1,0,2,1
34.0,1.0,3.0,715.64,13.0,0.0,1,0,1,1
35.0,3.0,11.0,925.63,2.0,1.0,1,0,1,0
21.0,5.0,19.0,223.0,16.0,1.0,1,0,0,2
41.0,3.0,1.0,626.0,12.0,1.0,0,1,2,1
22.0,4.0,28.0,614.0,13.0,1.0,1,0,0,1
33.0,3.0,10.0,495.0,3.0,1.0,0,1,1,0
44.0,3.0,11.0,510.66,2.0,0.0,1,0,2,0
50.0,3.0,5.0,910.46,5.0,0.0,0,1,2,0
45.0,0.0,12.0,794.0,21.0,1.0,1,0,2,2
54.0,0.0,23.0,941.0,12.0,1.0,0,1,2,1
29.0,2.0,1.0,285.0,21.0,1.0,1,0,1,2
30.0,0.0,11.0,755.78,26.0,0.0,0,1,1,2
46.0,1.0,10.0,991.79,7.0,0.0,0,1,2,0
57.0,6.0,13.0,303.0,19.0,0.0,0,1,2,2
33.0,6.0,14.0,486.0,14.0,1.0,1,0,1,1
20.0,7.0,11.0,591.0,17.0,1.0,1,0,0,2
20.0,1.0,20.0,621.57,10.0,0.0,0,1,0,1
26.0,0.0,9.0,679.11,4.0,0.0,1,0,1,0
47.0,10.0,5.0,628.0,1.0,1.0,1,0,2,0
34.0,2.0,1.0,906.68,3.0,0.0,0,1,1,0
22.0,1.0,0.0,930.86,2.0,0.0,0,1,0,0
20.0,0.0,11.0,953.82,14.0,0.0,0,1,0,1
45.0,1.0,26.0,190.0,11.0,1.0,1,0,2,1
40.0,1.0,23.0,976.0,30.0,1.0,1,0,2,2
62.0,2.0,4.0,249.03,29.0,1.0,0,1,3,2
35.0,3.0,20.0,538.8,2.0,0.0,1,0,1,0
62.0,8.0,25.0,301.0,27.0,1.0,0,1,3,2
50.0,0.0,5.0,625.68,17.0,0.0,0,1,2,2
26.0,1.0,17.0,776.87,30.0,0.0,0,1,1,2
42.0,4.0,8.0,537.0,5.0,1.0,0,1,2,0
30.0,10.0,4.0,240.0,12.0,1.0,0,1,1,1
33.0,0.0,12.0,591.19,2.0,0.0,0,1,1,0
33.0,0.0,16.0,744.0,14.0,0.0,0,1,1,1
46.0,2.0,8.0,997.63,9.0,0.0,0,1,2,1
28.0,10.0,13.0,656.0,12.0,1.0,1,0,1,1
25.0,0.0,12.0,345.0,20.0,0.0,1,0,1,2
57.0,8.0,5.0,702.0,6.0,0.0,1,0,2,0
24.0,3.0,18.0,405.0,29.0,1.0,0,1,0,2
41.0,3.0,10.0,667.1,6.0,0.0,0,1,2,0
34.0,0.0,13.0,776.82,29.0,0.0,0,1,1,2
27.0,8.0,11.0,214.0,8.0,1.0,1,0,1,1
59.0,7.0,23.0,766.0,26.0,1.0,1,0,2,2
33.0,9.0,11.0,246.0,24.0,0.0,1,0,1,2
20.0,7.0,4.0,412.0,10.0,1.0,1,0,0,1
52.0,10.0,20.0,938.0,20.0,1.0,1,0,2,2
46.0,8.0,26.0,553.0,10.0,1.0,1,0,2,1
56.0,5.0,15.0,184.0,20.0,0.0,1,0,2,2
33.0,6.0,25.0,883.0,26.0,1.0,1,0,1,2
48.0,0.0,9.0,273.0,11.0,0.0,0,1,2,1
43.0,6.0,20.0,778.63,5.0,1.0,1,0,2,0
47.0,10.0,3.0,832.0,23.0,1.0,0,1,2,2
34.0,2.0,20.0,634.46,15.0,0.0,0,1,1,1
40.0,0.0,16.0,867.19,27.0,0.0,0,1,2,2
29.0,1.0,12.0,869.9,24.0,0.0,0,1,1,2
59.0,8.0,21.0,519.0,29.0,0.0,1,0,2,2
38.0,3.0,20.0,783.39,8.0,0.0,0,1,1,1
21.0,6.0,9.0,540.0,20.0,1.0,0,1,0,2
46.0,3.0,2.0,782.9,30.0,0.0,0,1,2,2
50.0,2.0,20.0,591.37,11.0,0.0,1,0,2,1
54.0,9.0,13.0,109.0,20.0,1.0,1,0,2,2
19.0,1.0,17.0,747.0,24.0,0.0,0,1,0,2
48.0,4.0,1.0,617.25,1.0,0.0,1,0,2,0
35.0,3.0,21.0,650.0,19.0,0.0,1,0,1,2
24.0,0.0,6.0,782.79,26.0,0.0,0,1,0,2
36.0,0.0,10.0,691.17,12.0,0.0,1,0,1,1
57.0,8.0,4.0,595.0,22.0,1.0,0,1,2,2
58.0,0.0,17.0,354.87,5.0,1.0,1,0,2,0
63.0,3.0,11.0,428.0,30.0,1.0,1,0,3,2
41.0,1.0,12.0,806.92,2.0,0.0,0,1,2,0
59.0,5.0,24.0,460.0,7.0,1.0,0,1,2,0
32.0,2.0,22.0,758.0,29.0,1.0,1,0,1,2
29.0,5.0,10.0,928.0,14.0,0.0,0,1,1,1
58.0,4.0,18.0,897.0,21.0,1.0,0,1,2,2
30.0,6.0,19.0,599.0,11.0,1.0,1,0,1,1
61.0,10.0,10.0,829.0,10.0,1.0,1,0,3,1
42.0,4.0,8.0,755.42,6.0,0.0,1,0,2,0
33.0,10.0,15.0,274.17,21.0,1.0,0,1,1,2
34.0,0.0,20.0,537.47,7.0,0.0,1,0,1,0
45.0,5.0,26.0,436.0,13.0,1.0,1,0,2,1
32.0,2.0,12.0,574.29,28.0,0.0,0,1,1,2
25.0,1.0,8.0,903.0,10.0,1.0,1,0,1,1
31.0,1.0,14.0,987.47,7.0,0.0,1,0,1,0
31.0,1.0,7.0,600.28,22.0,0.0,0,1,1,2
37.0,5.0,13.0,154.41,28.0,1.0,1,0,1,2
38.0,2.0,11.0,390.0,22.0,1.0,1,0,1,2
31.0,3.0,11.0,964.21,2.0,0.0,1,0,1,0
26.0,0.0,2.0,801.35,16.0,0.0,0,1,1,2
23.0,9.0,10.0,189.0,10.0,1.0,0,1,0,1
21.0,0.0,14.0,787.05,3.0,0.0,1,0,0,0
51.0,6.0,30.0,864.0,18.0,1.0,0,1,2,2
21.0,2.0,14.0,725.0,22.0,1.0,1,0,0,2
60.0,7.0,28.0,186.28,18.0,1.0,1,0,3,2
27.0,2.0,12.0,543.36,11.0,0.0,1,0,1,1
40.0,1.0,17.0,937.65,28.0,0.0,0,1,2,2
32.0,2.0,8.0,818.24,5.0,0.0,1,0,1,0
22.0,7.0,10.0,804.0,17.0,1.0,1,0,0,2
35.0,4.0,19.0,523.0,23.0,1.0,0,1,1,2
23.0,1.0,28.0,649.0,20.0,1.0,1,0,0,2
24.0,7.0,18.0,177.0,13.0,1.0,0,1,0,1
39.0,1.0,0.0,753.63,6.0,0.0,1,0,1,0
60.0,8.0,9.0,660.0,6.0,1.0,1,0,3,0
39.0,5.0,6.0,328.81,30.0,1.0,1,0,1,2
46.0,1.0,5.0,973.06,13.0,0.0,1,0,2,1
42.0,0.0,8.0,533.71,30.0,0.0,0,1,2,2
33.0,1.0,7.0,593.03,2.0,0.0,1,0,1,0
56.0,5.0,20.0,315.0,3.0,1.0,1,0,2,0
54.0,1.0,1.0,487.0,17.0,1.0,1,0,2,2
40.0,1.0,0.0,850.42,8.0,0.0,0,1,2,1
45.0,0.0,6.0,858.26,29.0,0.0,0,1,2,2
24.0,1.0,14.0,580.76,16.0,0.0,0,1,0,2
27.0,2.0,5.0,911.14,24.0,0.0,0,1,1,2
32.0,0.0,19.0,628.57,17.0,0.0,0,1,1,2
23.0,7.0,12.0,806.0,7.0,1.0,0,1,0,0
43.0,2.0,7.0,578.12,7.0,0.0,0,1,2,0
29.0,8.0,16.0,111.72,25.0,1.0,0,1,1,2
38.0,3.0,0.0,226.06,30.0,1.0,0,1,1,2
45.0,1.0,8.0,974.19,3.0,0.0,0,1,2,0
27.0,2.0,10.0,637.09,8.0,0.0,1,0,1,1
47.0,3.0,9.0,284.0,19.0,1.0,0,1,2,2
54.0,9.0,26.0,686.0,15.0,1.0,1,0,2,1
49.0,4.0,4.0,110.0,7.0,1.0,1,0,2,0
47.0,7.0,26.0,116.95,22.0,1.0,0,1,2,2
60.0,6.0,23.0,885.0,7.0,1.0,0,1,3,0
32.0,8.0,8.0,227.0,5.0,1.0,1,0,1,0
42.0,7.0,21.0,241.0,7.0,1.0,1,0,2,0
50.0,5.0,1.0,927.9,7.0,0.0,0,1,2,0
34.0,0.0,9.0,672.67,7.0,0.0,0,1,1,0
41.0,6.0,2.0,183.0,4.0,1.0,1,0,2,0
46.0,7.0,14.0,233.0,20.0,0.0,0,1,2,2
48.0,8.0,2.0,885.0,4.0,1.0,1,0,2,0
64.0,6.0,5.0,528.0,22.0,1.0,0,1,3,2
18.0,1.0,16.0,963.92,3.0,0.0,0,1,0,0
51.0,8.0,15.0,998.0,6.0,1.0,0,1,2,0
51.0,0.0,21.0,557.0,30.0,1.0,0,1,2,2
40.0,1.0,17.0,901.52,1.0,0.0,1,0,2,0
31.0,1.0,10.0,955.13,9.0,0.0,0,1,1,1
20.0,8.0,18.0,321.0,16.0,1.0,0,1,0,2
25.0,2.0,10.0,946.45,17.0,0.0,0,1,1,2
62.0,9.0,23.0,856.0,30.0,0.0,1,0,3,2
47.0,7.0,23.0,845.0,16.0,1.0,0,1,2,2
32.0,3.0,5.0,962.04,8.0,0.0,1,0,1,1
64.0,4.0,15.0,195.0,7.0,1.0,1,0,3,0
48.0,3.0,13.0,633.54,30.0,0.0,0,1,2,2
33.0,7.0,10.0,530.0,6.0,0.0,1,0,1,0
59.0,10.0,8.0,534.0,6.0,1.0,0,1,2,0
25.0,2.0,4.0,822.89,9.0,0.0,1,0,1,1
35.0,5.0,29.0,897.0,2.0,1.0,0,1,1,0
22.0,2.0,14.0,856.95,2.0,0.0,1,0,0,0
52.0,6.0,30.0,921.0,18.0,1.0,1,0,2,2
